Year,Playa,Creosote,Grassland,Mesquite,Tarbush,PPT
1992,185,112.5333333,169.9333333,77.96666667,70.56666667,404.622
1993,241.6,85.16666667,95.93333333,83.36666667,68.7,286.766
1994,9.1,55,41.13333333,36.9,67.46666667,161.29
1995,56.1,73.4,90.76666667,69.73333333,49.7,146.558
1996,475.1,109.7333333,98.06666667,91.56666667,84.6,254.762
1997,443.9,65.53333333,124.0666667,87.26666667,107.2,302.006
1998,88.2,62.8,61.5,58.8,54.4,130.302
1999,248.3,93,164.6666667,93,74.83333333,306.796
2000,65,42.03333333,74,87.36666667,28.2,156.972
2001,102.1,70.96666667,91.23333333,129.5333333,54.23333333,171.958
2002,181.8,65.33333333,90.36666667,64.8,49.83333333,172.72
2003,54.5,41.16666667,85.93333333,52.5,30.93333333,137.16
2004,482.8,74.6,115.5,70.83333333,67.7,291.592
2005,148.9,92.63333333,212.8666667,129.6666667,114.5,353.238
2006,139.7,111.8,286.3666667,183.3333333,114.2,427.482
2007,288.6,110.8666667,205.5666667,373.7,134.9666667,239.522
2008,214.8,147.8333333,295.6666667,312.7333333,157.7333333,350.266
2009,100.5,78.23333333,118.6,152.1,68.1,203.708
2010,114.2,145.8333333,260.6333333,242.6,97.13333333,211.328
